Q160130,Landkreis Bautzen,Sachsen
Q160395,Landkreis Bautzen,Sachsen
Q160393,Landkreis Bautzen,Sachsen
Q160415,Landkreis Bautzen,Sachsen
Q160437,Landkreis Bautzen,Sachsen
Q160462,Landkreis Bautzen,Sachsen
Q160461,Landkreis Bautzen,Sachsen
Q160513,Landkreis Bautzen,Sachsen
Q160529,Landkreis Bautzen,Sachsen
Q160542,Landkreis Bautzen,Sachsen
Q160588,Landkreis Bautzen,Sachsen
Q160607,Landkreis Bautzen,Sachsen
Q160616,Landkreis Bautzen,Sachsen
Q160621,Landkreis Bautzen,Sachsen
Q160625,Landkreis Bautzen,Sachsen
Q160635,Landkreis Bautzen,Sachsen
Q160666,Landkreis Bautzen,Sachsen
Q160760,Landkreis Bautzen,Sachsen
Q160794,Landkreis Bautzen,Sachsen
Q160806,Landkreis Bautzen,Sachsen
Q160804,Landkreis Bautzen,Sachsen
Q160812,Landkreis Bautzen,Sachsen
Q160831,Landkreis Bautzen,Sachsen
Q160848,Landkreis Bautzen,Sachsen
Q160880,Landkreis Bautzen,Sachsen
Q160968,Landkreis Bautzen,Sachsen
Q160999,Landkreis Bautzen,Sachsen
Q162673,Landkreis Bautzen,Sachsen
Q93243,Landkreis Bautzen,Sachsen
Q145259,Landkreis Bautzen,Sachsen
Q1557593,Landkreis Bautzen,Sachsen
Q1668312,Landkreis Bautzen,Sachsen
Q819788,Landkreis Bautzen,Sachsen
Q1746383,Landkreis Bautzen,Sachsen
Q23210536,Landkreis Bautzen,Sachsen
Q1570307,Landkreis Bautzen,Sachsen
Q6154458,Landkreis Bautzen,Sachsen
Q2381665,Landkreis Bautzen,Sachsen
Q1800578,Landkreis Bautzen,Sachsen
Q10366565,Landkreis Bautzen,Sachsen
Q10367414,Landkreis Bautzen,Sachsen
Q10371788,Landkreis Bautzen,Sachsen
Q10372010,Landkreis Bautzen,Sachsen
Q10374308,Landkreis Bautzen,Sachsen
Q10379634,Landkreis Bautzen,Sachsen
Q10729079,Landkreis Bautzen,Sachsen
Q10767946,Landkreis Bautzen,Sachsen
Q10768764,Landkreis Bautzen,Sachsen
Q10777634,Landkreis Bautzen,Sachsen
Q10816873,Landkreis Bautzen,Sachsen
Q12372949,Landkreis Bautzen,Sachsen
Q18672393,Landkreis Bautzen,Sachsen
Q19359634,Landkreis Bautzen,Sachsen
Q1464348,Landkreis Bautzen,Sachsen
Q52540060,Landkreis Bautzen,Sachsen
Q52739920,Landkreis Bautzen,Sachsen
Q2565705,Landkreis Bautzen,Sachsen
Q1271263,Landkreis Bautzen,Sachsen
Q15058251,Landkreis Bautzen,Sachsen
Q1745587,Landkreis Bautzen,Sachsen
Q20737437,Landkreis Bautzen,Sachsen
Q1871261,Landkreis Bautzen,Sachsen
Q160158,Landkreis Bautzen,Sachsen
Q160406,Landkreis Bautzen,Sachsen
Q160468,Landkreis Bautzen,Sachsen
Q160533,Landkreis Bautzen,Sachsen
Q160540,Landkreis Bautzen,Sachsen
Q160548,Landkreis Bautzen,Sachsen
Q160559,Landkreis Bautzen,Sachsen
Q160586,Landkreis Bautzen,Sachsen
Q160610,Landkreis Bautzen,Sachsen
Q160613,Landkreis Bautzen,Sachsen
Q160617,Landkreis Bautzen,Sachsen
Q160643,Landkreis Bautzen,Sachsen
Q160668,Landkreis Bautzen,Sachsen
Q160773,Landkreis Bautzen,Sachsen
Q160838,Landkreis Bautzen,Sachsen
Q160842,Landkreis Bautzen,Sachsen
Q160858,Landkreis Bautzen,Sachsen
Q160865,Landkreis Bautzen,Sachsen
Q160952,Landkreis Bautzen,Sachsen
Q160965,Landkreis Bautzen,Sachsen
Q162687,Landkreis Bautzen,Sachsen
Q162706,Landkreis Bautzen,Sachsen
Q162713,Landkreis Bautzen,Sachsen
Q165027,Landkreis Bautzen,Sachsen
Q17517401,Landkreis Bautzen,Sachsen
Q59080856,Landkreis Bautzen,Sachsen
Q110628693,Landkreis Bautzen,Sachsen
Q110628999,Landkreis Bautzen,Sachsen
Q15810159,Landkreis Bautzen,Sachsen
Q22035590,Landkreis Bautzen,Sachsen
Q22074741,Landkreis Bautzen,Sachsen
Q1684107,Landkreis Bautzen,Sachsen
Q1688805,Landkreis Bautzen,Sachsen
Q1921776,Landkreis Bautzen,Sachsen
Q18672398,Landkreis Bautzen,Sachsen
Q891271,Landkreis Bautzen,Sachsen
Q2756595,Landkreis Bautzen,Sachsen
Q10364094,Landkreis Bautzen,Sachsen
Q10371979,Landkreis Bautzen,Sachsen
Q10724434,Landkreis Bautzen,Sachsen
Q10727184,Landkreis Bautzen,Sachsen
Q10727220,Landkreis Bautzen,Sachsen
Q10773331,Landkreis Bautzen,Sachsen
Q10787818,Landkreis Bautzen,Sachsen
Q1549768,Landkreis Bautzen,Sachsen
