wikidata_id,instance_of,admin_unit,area,capital,coordinates,population,subdivision,flag_info,flag_image,coat_of_arms_info,coat_of_arms_image,map_image,insignia,postal_code,first_written_record,inception,abolition,partner_cities,gnd,geonames_id,openstreetmap_rel_id,openstreetmap_node_id,district_key,municipality_key,regional_key,label_de,label_en,label_fr,desc_de,desc_en,desc_fr,sitelink_de,sitelink_en,sitelink_fr,bundesland,landkreis,type
Q615842,Q41762994,Q8214,,,Point(9.1 48.45),,"Q507707, Q507755, Q542172",,,,,,,,,1975-01-01T00:00:00Z,,,,,2946711,,,,084165001,Gemeindeverwaltungsverband Steinlach-Wiesaz,Steinlach-Wiesaz GVV,,"Gemeindeverwaltungsverband im Landkreis Tübingen, Baden-Württemberg, Deutschland","municipality administration association in the district Tübingen, Baden-Württemberg, Germany",,https://de.wikipedia.org/wiki/Gemeindeverwaltungsverband_Steinlach-Wiesaz,,,Baden-Württemberg,Landkreis Tübingen,None
Q9392602,Q41762994,Q8217,,,,,"Q82453, Q83211, Q83227",,,,,,,,,,,,,,2950865,,,,084155006,Gemeindeverwaltungsverband Zwiefalten-Hayingen,Zwiefalten-Hayingen GVV,,"Gemeindeverwaltungsverband im Landkreis Reutlingen, Baden-Württemberg, Deutschland","municipality administration association in the district Reutlingen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Reutlingen,None
Q9392507,Q41762994,Q8223,,,,,"Q384061, Q496489, Q518794, Q518825, Q518955, Q519004, Q538493, Q538672, Q557618, Q557679",,,,,,,,,,,,,,2951816,,,,084265001,Gemeindeverwaltungsverband Bad Buchau,Bad Buchau GVV,,"Gemeindeverwaltungsverband im Landkreis Biberach, Baden-Württemberg, Deutschland","municipality administration association in the district Biberach, Baden-Württemberg, Germany",,https://de.wikipedia.org/wiki/Gemeindeverwaltungsverband_Bad_Buchau,,,Baden-Württemberg,Landkreis Biberach,None
Q9392580,Q41762994,Q8223,,,,,"Q177338, Q527998",,,,,,,,,,,,,,2951720,,,,084265008,Gemeindeverwaltungsverband Rot-Tannheim,Rot-Tannheim GVV,,"Gemeindeverwaltungsverband im Landkreis Biberach, Baden-Württemberg, Deutschland","municipality administration association in the district Biberach, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Biberach,None
Q9392513,Q41762994,Q8221,,,,,"Q206649, Q515106, Q515510",,,,,,,,,,,,,,2951677,,,,084255003,Gemeindeverwaltungsverband Dietenheim,Dietenheim GVV,,"Gemeindeverwaltungsverband im Alb-Donau-Kreis, Baden-Württemberg, Deutschland","municipality administration association in the district Alb-Donau-Kreis, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Alb-Donau-Kreis,None
Q9392543,Q41762994,Q8221,,,,,"Q515438, Q534155, Q540595, Q540835, Q636077",,,,,,,,,,,,,,2951679,,,,084255007,Gemeindeverwaltungsverband Laichinger Alb,Laichinger Alb GVV,,"Gemeindeverwaltungsverband im Alb-Donau-Kreis, Baden-Württemberg, Deutschland","municipality administration association in the district Alb-Donau-Kreis, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Alb-Donau-Kreis,None
Q9392549,Q41762994,Q8221,,,,,"Q478808, Q540568",,,,,,,,,,,,,,2951681,,,,084255009,Gemeindeverwaltungsverband Lonsee-Amstetten,Lonsee-Amstetten GVV,,"Gemeindeverwaltungsverband im Alb-Donau-Kreis, Baden-Württemberg, Deutschland","municipality administration association in the district Alb-Donau-Kreis, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Alb-Donau-Kreis,None
Q1500588,Q41762994,Q8225,,,Point(9.544166666 47.931388888),,"Q179013, Q263741, Q533749, Q533779, Q533853, Q533995, Q534044, Q550659, Q550679, Q550715, Q550761",,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindeverwaltungsverband%20Altshausen.png,,,,,,,34711-5,,2951944,,,,084365001,Gemeindeverwaltungsverband Altshausen,Altshausen GVV,,"Gemeindeverwaltungsverband im Landkreis Ravensburg, Baden-Württemberg, Deutschland","municipality administration association in the district Ravensburg, Baden-Württemberg, Germany",,https://de.wikipedia.org/wiki/Gemeindeverwaltungsverband_Altshausen,,,Baden-Württemberg,Landkreis Ravensburg,None
Q1500592,Q41762994,Q8225,,,Point(9.65552 47.75347),,"Q389752, Q533682, Q533937, Q650568",,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindeverwaltungsverband%20Gullen.png,,,,1972-01-01T00:00:00Z,,,,,2951843,,,,084365003,Gemeindeverwaltungsverband Gullen,Gullen GVV,,"Gemeindeverwaltungsverband im Landkreis Ravensburg, Baden-Württemberg, Deutschland","municipality administration association in the district Ravensburg, Baden-Württemberg, Germany",,https://de.wikipedia.org/wiki/Gemeindeverwaltungsverband_Gullen,,,Baden-Württemberg,Landkreis Ravensburg,None
Q9392523,Q41762994,Q8230,,,,,"Q82292, Q82304, Q83088, Q549795",,,,,,,,,,,,,,2951102,,,,084375001,Gemeindeverwaltungsverband Gammertingen,Gammertingen GVV,,"Gemeindeverwaltungsverband im Landkreis Sigmaringen, Baden-Württemberg, Deutschland","municipality administration association in the district Sigmaringen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Sigmaringen,None
Q9392585,Q41762994,Q8230,,,,,"Q81075, Q82858, Q83046, Q83107, Q550644, Q557646",,,,,,,,,,,,,,2952101,,,,084375006,Gemeindeverwaltungsverband Sigmaringen,Sigmaringen GVV,,"Gemeindeverwaltungsverband im Landkreis Sigmaringen, Baden-Württemberg, Deutschland","municipality administration association in the district Sigmaringen, Baden-Württemberg, Germany",,,,,Baden-Württemberg,Landkreis Sigmaringen,None
Q1500590,Q41762994,Q8228,,,Point(9.570833333 47.616944444),,"Q515372, Q532326, Q557658",,,,http://commons.wikimedia.org/wiki/Special:FilePath/GVV%20EKL.png,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindeverwaltungsverband%20Eriskirch-Kressbronn%20am%20Bodensee-Langenargen.png,,,,,,,,,2952141,,,,084355001,Gemeindeverwaltungsverband Eriskirch-Kressbronn a. B.-Langenargen,Eriskirch-Kressbronn a. B.-Langenargen GVV,,"Gemeindeverwaltungsverband im Bodenseekreis, Baden-Württemberg, Deutschland","municipality administration association in the district Bodenseekreis, Baden-Württemberg, Germany",,https://de.wikipedia.org/wiki/Gemeindeverwaltungsverband_Eriskirch-Kressbronn_a._B.-Langenargen,,,Baden-Württemberg,Bodenseekreis,None
Q1500599,Q41762994,Q8228,,,Point(9.272777777 47.694444444),,"Q498212, Q505483, Q527642, Q539889, Q557664",,,,http://commons.wikimedia.org/wiki/Special:FilePath/GVV%20Meersburg.png,http://commons.wikimedia.org/wiki/Special:FilePath/Gemeindeverwaltungsverband%20Meersburg.png,,,,,,,,,2952124,,,,084355004,Gemeindeverwaltungsverband Meersburg,Gemeindeverwaltungsverband Meersburg,Gemeindeverwaltungsverband Meersburg,"Gemeindeverwaltungsverband im Bodenseekreis, Baden-Württemberg, Deutschland","municipality administration association in the district Bodenseekreis, Baden-Württemberg, Germany",,https://de.wikipedia.org/wiki/Gemeindeverwaltungsverband_Meersburg,,,Baden-Württemberg,Bodenseekreis,None
